time/fps,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/time_elapsed,train/entropy_loss,time/iterations,train/policy_loss,train/value_loss,train/explained_variance
82,0.7,18099,1761.87,181000,0.0007,2189,-0.009105021134018898,18100,-4.6334387715507575e-11,6.710808048244143e-16,-1.1920928955078125e-07
82,0.7,18199,1793.26,182000,0.0007,2202,-0.009176013991236687,18200,2.901153038692428e-06,8.716606316738762e-06,-1.1920928955078125e-07
82,0.7,18299,1793.26,183000,0.0007,2215,-0.00900550838559866,18300,-3.431849563639844e-06,1.2742841136059724e-05,-1.1920928955078125e-07
82,0.7,18399,1793.26,184000,0.0007,2227,-0.00576301384717226,18400,-4.7768015321025814e-08,6.915473527158156e-09,-1.1920928955078125e-07
82,0.7,18499,1793.26,185000,0.0007,2240,-0.008054873906075954,18500,-4.922596303913451e-07,3.3963058854169503e-07,0.0
82,0.68,18599,1824.83,186000,0.0007,2253,-0.010877899825572968,18600,-6.690569307465921e-07,3.1184691806629417e-07,-1.1920928955078125e-07
82,0.68,18699,1824.83,187000,0.0007,2266,-0.017936138436198235,18700,-2.108331045747036e-06,9.563752882968402e-07,-1.1920928955078125e-07
82,0.68,18799,1824.83,188000,0.0007,2279,-0.018735483288764954,18800,-3.000531023644726e-06,1.7591194136912236e-06,-1.1920928955078125e-07
82,0.68,18899,1824.83,189000,0.0007,2292,-0.011957643553614616,18900,-1.5563439319521422e-06,1.36180665322172e-06,-1.1920928955078125e-07
82,0.65,18999,1864.8,190000,0.0007,2305,-0.024629073217511177,19000,-2.2629846607724602e-10,1.129157810886316e-15,-1.1920928955078125e-07
82,0.65,19099,1864.8,191000,0.0007,2318,-0.024629147723317146,19100,2.808624888217537e-09,8.576306440195858e-13,0.0
82,0.62,19199,1884.21,192000,0.0007,2331,-0.029300030320882797,19200,5.295153641782235e-06,1.8863823925130419e-06,1.1920928955078125e-07
82,0.6,19299,1894.49,193000,0.0007,2344,-0.026396747678518295,19300,-7.094145271224761e-09,4.375861218514077e-12,1.7881393432617188e-07
82,0.57,19399,1902.47,194000,0.0007,2358,-0.02639552392065525,19400,-2.125285503140617e-09,5.353634744721669e-13,0.0
82,0.57,19499,1902.47,195000,0.0007,2371,-0.02639308199286461,19500,-1.1769203389633276e-08,1.244283408946556e-11,-1.1920928955078125e-07
82,0.53,19599,1914.26,196000,0.0007,2384,-0.039965711534023285,19600,-3.7385932500910712e-06,4.440742600309022e-07,0.0
82,0.51,19699,1925.36,197000,0.0007,2398,-0.01454821228981018,19700,-4.276518722479139e-11,2.5540727395368767e-16,-1.1920928955078125e-07
82,0.51,19799,1925.36,198000,0.0007,2412,-0.0145482886582613,19800,2.8885321912142103e-10,5.422327490440734e-14,5.960464477539063e-08
81,0.51,19899,1940.41,199000,0.0007,2427,-0.014548338949680328,19900,2.493435680150924e-08,2.2272469979434106e-10,-1.1920928955078125e-07
81,0.51,19999,1940.41,200000,0.0007,2442,-0.014555780217051506,20000,1.362929651804734e-06,6.580158355973253e-07,0.0
81,0.51,20099,1940.41,201000,0.0007,2457,-0.014257891103625298,20100,1.1907625321327941e-06,5.248342631603009e-07,0.0
81,0.51,20199,1940.41,202000,0.0007,2472,-0.010129542089998722,20200,1.024439484353934e-06,8.647351705803885e-07,0.0
81,0.51,20299,1980.52,203000,0.0007,2487,-0.007374965585768223,20300,6.076634334606368e-11,1.6396683798447454e-15,0.0
81,0.51,20399,1980.52,204000,0.0007,2502,-0.007375054992735386,20400,6.195742530135107e-11,2.2742186653573315e-15,5.960464477539063e-08
81,0.51,20499,1980.52,205000,0.0007,2518,-0.007375008426606655,20500,6.27236179662205e-11,1.4484797028805306e-15,0.0
81,0.51,20599,1980.52,206000,0.0007,2533,-0.007374930195510387,20600,6.314905542925686e-11,1.2988528150557161e-15,1.1920928955078125e-07
81,0.51,20699,1980.52,207000,0.0007,2549,-0.007375582121312618,20700,6.340462183063167e-11,2.3412187597269098e-15,5.960464477539063e-08
81,0.49,20799,2032.33,208000,0.0007,2565,-0.007377666886895895,20800,3.630333935689123e-07,2.2686431577767507e-07,0.0
80,0.49,20899,2032.33,209000,0.0007,2581,-0.007182443048804998,20900,-8.38096148036982e-10,1.2544131315281315e-12,0.0
80,0.49,20999,2032.33,210000,0.0007,2596,-0.00915105827152729,21000,-1.9879767023667227e-06,4.219512447889429e-06,0.0
80,0.49,21099,2032.33,211000,0.0007,2612,-0.005462938454002142,21100,-1.2805323024167592e-07,5.772643518753284e-08,0.0
80,0.49,21199,2032.33,212000,0.0007,2628,-0.004373644012957811,21200,-2.0251643206847803e-07,2.360832667136492e-07,5.960464477539063e-08
80,0.49,21299,2032.33,213000,0.0007,2644,-0.004372264724224806,21300,-3.7654993434443895e-07,8.15888881788851e-07,1.7881393432617188e-07
80,0.49,21399,2032.33,214000,0.0007,2660,-0.0052756755612790585,21400,-6.911735681569553e-07,1.7840091004472924e-06,0.0
80,0.49,21499,2032.33,215000,0.0007,2676,-0.005273341666907072,21500,-6.252979005694215e-07,1.462555928810616e-06,0.0
80,0.49,21599,2032.33,216000,0.0007,2692,-0.006526191718876362,21600,-6.735384658895782e-07,1.060217755366466e-06,0.0
