time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/loss,train/n_updates
901505,29912,270,3337,0.01,1049.42,22.6,0.00025,0.07131113857030869,212876
901692,29916,270,3337,0.01,1053.66,22.72,0.00025,0.11519666761159897,212922
901868,29920,270,3338,0.01,1054.98,22.78,0.00025,0.03051636926829815,212966
902108,29924,270,3339,0.01,1054.98,22.78,0.00025,0.0699702650308609,213026
902276,29928,270,3340,0.01,1059.83,22.93,0.00025,0.09110966324806213,213068
902423,29932,270,3340,0.01,1057.45,22.9,0.00025,0.04371660202741623,213105
902725,29936,270,3341,0.01,1055.76,22.77,0.00025,0.11302976310253143,213181
902914,29940,270,3342,0.01,1059.06,22.66,0.00025,0.21724972128868103,213228
903251,29944,270,3344,0.01,1059.06,22.66,0.00025,0.03296497091650963,213312
903456,29948,270,3344,0.01,1064.07,22.79,0.00025,0.03312895447015762,213363
903653,29952,270,3345,0.01,1065.31,22.85,0.00025,0.050533294677734375,213413
903851,29956,270,3346,0.01,1063.09,22.79,0.00025,0.016802817583084106,213462
904091,29960,270,3347,0.01,1067.57,22.89,0.00025,0.09422627091407776,213522
904246,29964,270,3347,0.01,1067.57,22.89,0.00025,0.04988547042012215,213561
904465,29968,270,3348,0.01,1070.28,22.95,0.00025,0.04971691220998764,213616
904553,29972,270,3349,0.01,1067.79,22.89,0.00025,0.07983686774969101,213638
904759,29976,270,3349,0.01,1063.56,22.76,0.00025,0.02438587322831154,213689
905014,29980,270,3350,0.01,1062.95,22.71,0.00025,0.051995158195495605,213753
905266,29984,270,3351,0.01,1062.95,22.71,0.00025,0.07113426923751831,213816
905351,29988,270,3352,0.01,1062.65,22.72,0.00025,0.08546125888824463,213837
905534,29992,270,3352,0.01,1057.38,22.52,0.00025,0.06109192222356796,213883
905670,29996,270,3353,0.01,1058.84,22.58,0.00025,0.023123346269130707,213917
905836,30000,270,3354,0.01,1055.57,22.48,0.00025,0.03705644607543945,213958
905968,30004,270,3354,0.01,1055.57,22.48,0.00025,0.02923479489982128,213991
906217,30008,270,3355,0.01,1052.06,22.3,0.00025,0.2181605100631714,214054
906329,30012,270,3356,0.01,1047.43,22.1,0.00025,0.02331668511033058,214082
906653,30016,270,3357,0.01,1052.66,22.4,0.00025,0.10604312270879745,214163
906876,30020,270,3358,0.01,1045.1,22.31,0.00025,0.03772945702075958,214218
907197,30024,270,3359,0.01,1045.1,22.31,0.00025,0.02884611487388611,214299
907593,30028,270,3360,0.01,1054.77,22.51,0.00025,0.031113171949982643,214398
907791,30032,270,3361,0.01,1061.81,22.8,0.00025,0.0556449219584465,214447
908031,30036,270,3362,0.01,1062.81,22.82,0.00025,0.03826175630092621,214507
908175,30040,270,3363,0.01,1058.82,22.66,0.00025,0.11192173510789871,214543
908329,30044,270,3363,0.01,1058.82,22.66,0.00025,0.05132182314991951,214582
908607,30048,270,3364,0.01,1058.42,22.68,0.00025,0.11234038323163986,214651
908791,30052,270,3365,0.01,1064.02,22.78,0.00025,0.027948511764407158,214697
908959,30056,270,3366,0.01,1062.92,22.77,0.00025,0.06199344992637634,214739
909232,30060,270,3367,0.01,1068.79,23.04,0.00025,0.02296592853963375,214807
909399,30064,269,3368,0.01,1068.79,23.04,0.00025,0.04018084704875946,214849
